Date/Time,Energy Delivered (Wh)
05/06/2024,"10,608"
05/07/2024,"35,280"
05/08/2024,"8,834"
05/09/2024,"27,353"
05/10/2024,"29,890"
05/11/2024,"29,885"
05/12/2024,"27,849"
05/13/2024,"27,270"
05/14/2024,"20,648"
05/15/2024,"11,011"
05/16/2024,"16,618"
05/17/2024,"19,417"
05/18/2024,"17,603"
05/19/2024,"31,401"
05/20/2024,"17,561"
05/21/2024,"15,164"
05/22/2024,"16,059"
05/23/2024,"15,865"
05/24/2024,"9,695"
05/25/2024,"15,951"
05/26/2024,"17,418"
05/27/2024,"18,305"
05/28/2024,"11,456"
05/29/2024,"31,760"
05/30/2024,"14,315"
05/31/2024,"19,757"
06/01/2024,"4,428"
06/02/2024,"21,230"
06/03/2024,"17,584"
06/04/2024,"20,087"
06/05/2024,"34,405"
06/06/2024,"28,040"
06/07/2024,"28,260"
06/08/2024,"25,504"
06/09/2024,"25,239"
06/10/2024,"15,208"
06/11/2024,"24,696"
06/12/2024,"26,455"
06/13/2024,"22,348"
06/14/2024,"15,893"
06/15/2024,"15,971"
06/16/2024,"25,349"
06/17/2024,"28,462"
06/18/2024,"7,289"
06/19/2024,"32,348"
06/20/2024,"21,130"
06/21/2024,"10,452"
06/22/2024,"24,545"
06/23/2024,"33,738"
06/24/2024,"31,790"
06/25/2024,"32,389"
06/26/2024,"32,018"
06/27/2024,"27,659"
06/28/2024,"35,183"
06/29/2024,"21,424"
06/30/2024,"17,986"
07/01/2024,"26,565"
07/02/2024,"16,579"
07/03/2024,"12,313"
07/04/2024,"32,942"
07/05/2024,"10,821"
07/06/2024,"22,126"
07/07/2024,"16,176"
07/08/2024,"13,935"
07/09/2024,"13,255"
07/10/2024,"26,368"
07/11/2024,"28,435"
07/12/2024,"9,106"
07/13/2024,"21,338"
Total,"9,350,723"
