sep=,
Version CSV3|Tool WebUI|Linebreaks CR/LF|Delimiter comma

,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033,STP6.0-3AV-40 033
,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0,SUNNY TRIPOWER 6.0
,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX,XXXXXXXXXX
,Metering.TotWhOut,Metering.GridMs.TotWhOut,Metering.GridMs.AbsWhOut,Metering.GridMs.TotWhIn,Metering.GridMs.AbsWhIn
,Analog,Analog,Analog,Analog,Analog
DD.MM.YYYY hh:mm:ss,[Wh],[Wh],[Wh],[Wh],[Wh]
15.02.2021 00:00:00,6380008,0,NaN,0,NaN
16.02.2021 00:00:00,6395489,0,NaN,0,NaN
17.02.2021 00:00:00,6420104,0,NaN,0,NaN
18.02.2021 00:00:00,6445402,0,NaN,0,NaN
19.02.2021 00:00:00,6464336,0,NaN,0,NaN
20.02.2021 00:00:00,6466753,0,NaN,0,NaN
21.02.2021 00:00:00,6474284,0,NaN,0,NaN
22.02.2021 00:00:00,6482724,0,NaN,0,NaN
23.02.2021 00:00:00,6488952,0,NaN,0,NaN
24.02.2021 00:00:00,6503406,0,NaN,0,NaN
25.02.2021 00:00:00,6523549,0,NaN,0,NaN
26.02.2021 00:00:00,6547182,0,NaN,0,NaN
27.02.2021 00:00:00,6559637,0,NaN,0,NaN
28.02.2021 00:00:00,6580385,0,NaN,0,NaN
01.03.2021 00:00:00,6606757,0,NaN,0,NaN
02.03.2021 00:00:00,6621836,0,NaN,0,NaN
03.03.2021 00:00:00,6651203,0,NaN,0,NaN
04.03.2021 00:00:00,6668144,0,NaN,0,NaN
05.03.2021 00:00:00,6696967,0,NaN,0,NaN
06.03.2021 00:00:00,6714214,0,NaN,0,NaN
07.03.2021 00:00:00,6742470,0,NaN,0,NaN
08.03.2021 00:00:00,6763249,0,NaN,0,NaN
09.03.2021 00:00:00,6765176,0,NaN,0,NaN
10.03.2021 00:00:00,6795768,0,NaN,0,NaN
11.03.2021 00:00:00,6819470,0,NaN,0,NaN
12.03.2021 00:00:00,6829347,0,NaN,0,NaN
13.03.2021 00:00:00,6850037,0,NaN,0,NaN
14.03.2021 00:00:00,6858395,0,NaN,0,NaN
15.03.2021 00:00:00,6864202,0,NaN,0,NaN
16.03.2021 00:00:00,6881401,0,NaN,0,NaN
17.03.2021 00:00:00,6890093,0,NaN,0,NaN
18.03.2021 00:00:00,6909532,0,NaN,0,NaN
19.03.2021 00:00:00,6921033,0,NaN,0,NaN
20.03.2021 00:00:00,6934669,0,NaN,0,NaN
21.03.2021 00:00:00,6941119,0,NaN,0,NaN
22.03.2021 00:00:00,6955642,0,NaN,0,NaN
23.03.2021 00:00:00,6965435,NaN,NaN,NaN,NaN
24.03.2021 00:00:00,6997934,NaN,NaN,NaN,NaN
25.03.2021 00:00:00,7023303,NaN,NaN,NaN,NaN
26.03.2021 00:00:00,7034520,NaN,NaN,NaN,NaN
27.03.2021 00:00:00,7044109,NaN,NaN,NaN,NaN
28.03.2021 00:00:00,7055894,NaN,NaN,NaN,NaN
29.03.2021 00:00:00,7086893,NaN,NaN,NaN,NaN
30.03.2021 00:00:00,7114320,NaN,NaN,NaN,NaN
31.03.2021 00:00:00,7138364,NaN,NaN,NaN,NaN
01.04.2021 00:00:00,7170501,NaN,NaN,NaN,NaN
02.04.2021 00:00:00,7181425,NaN,NaN,NaN,NaN
03.04.2021 00:00:00,7218639,NaN,NaN,NaN,NaN
04.04.2021 00:00:00,7253439,NaN,NaN,NaN,NaN
05.04.2021 00:00:00,7286115,NaN,NaN,NaN,NaN
06.04.2021 00:00:00,7319783,NaN,NaN,NaN,NaN
07.04.2021 00:00:00,7330787,NaN,NaN,NaN,NaN
08.04.2021 00:00:00,7355092,NaN,NaN,NaN,NaN
09.04.2021 00:00:00,7364512,NaN,NaN,NaN,NaN
10.04.2021 00:00:00,7384732,NaN,NaN,NaN,NaN
11.04.2021 00:00:00,7398653,NaN,NaN,NaN,NaN
12.04.2021 00:00:00,7411363,NaN,NaN,NaN,NaN
13.04.2021 00:00:00,7435433,NaN,NaN,NaN,NaN
14.04.2021 00:00:00,7467248,NaN,NaN,NaN,NaN
15.04.2021 00:00:00,7473436,NaN,NaN,NaN,NaN
16.04.2021 00:00:00,7500263,NaN,NaN,NaN,NaN
17.04.2021 00:00:00,7527744,NaN,NaN,NaN,NaN
18.04.2021 00:00:00,7552739,NaN,NaN,NaN,NaN
19.04.2021 00:00:00,7571479,NaN,NaN,NaN,NaN
20.04.2021 00:00:00,7592675,NaN,NaN,NaN,NaN
21.04.2021 00:00:00,7631116,NaN,NaN,NaN,NaN
22.04.2021 00:00:00,7666417,NaN,NaN,NaN,NaN
23.04.2021 00:00:00,7705227,NaN,NaN,NaN,NaN
